P(boon,|"'a) = 100%	
P(the|1117.) = 100%	
P(years|1118--nineteen) = 100%	
P("foundation|1118.) = 100%	
P(battle|1119.) = 100%	
P(sinking|1120.) = 50%	
P(in|1120.) = 50%	
P(siege|1121.) = 100%	
P(henry|1122.) = 100%	
P(ninth|1123.) = 100%	
P(a|1124.) = 100%	
P(and|1125,) = 100%	
P(death|1125.) = 100%	
P(king|1126.) = 100%	
P(marriage|1127.) = 100%	
P(conrad,|1128.) = 100%	
P(king|1129.) = 100%	
P(on|1130.) = 100%	
P(birth|1131.) = 100%	
P(lothair|1132.) = 100%	
P(he|1133,) = 100%	
P(lothair|1133.) = 100%	
P(aragon|1134.) = 100%	
P(at|1135) = 100%	
P(to|1135,) = 100%	
P(stephen|1135.) = 50%	
P(death|1135.) = 50%	
P(lothair|1136.) = 100%	
P(death|1137.) = 100%	
P(the|1138.) = 33%	
P(but|1138.) = 33%	
P(david|1138.) = 33%	
P(he|1139) = 100%	
P(a|1139,) = 50%	
P(he|1139,) = 50%	
P(the|1139.) = 50%	
P(pope|1139.) = 50%	
P(the|1140) = 100%	
P(conrad|1140.) = 100%	
P(mainly|1141) = 100%	
P(there|1141,) = 100%	
P(battle|1141.) = 100%	
P(the|1142) = 50%	
P(universal|1142) = 50%	
P(henry|1142.) = 100%	
P(geisa,|1143.) = 50%	
P(the|1143.) = 50%	
P(rendered|1144,) = 100%	
P(edessa,|1144.) = 100%	
P(in|1145,) = 100%	
P(arnold|1145.) = 100%	
P(to|1146) = 100%	
P(some|1146,) = 100%	
P(prince|1146.) = 100%	
P(when|1147,) = 100%	
P(louis|1147.) = 50%	
P(for|1147.) = 50%	
P(unsuccessful|1148.) = 100%	
P(after|1149,) = 100%	
P(his|1149.) = 50%	
P(louis,|1149.) = 50%	
P(stephen,|1150) = 100%	
P(victory|1150.) = 100%	
P(and|1151,) = 100%	
P(manuel|1151.) = 100%	
P(death|1152.) = 100%	
P(and|1153,) = 50%	
P(pope|1153,) = 50%	
P(treaty|1153.) = 100%	
P(a|1154.) = 50%	
P(his|1154.) = 50%	
P(a|1155,) = 100%	
P(frederick|1155.) = 100%	
P(henry|1156.) = 100%	
P(pope|1157.) = 100%	
P(he|1158,) = 100%	
P(eric|1158.) = 100%	
P(election|1159.) = 100%	
P(emperor|1160.) = 100%	
P(peace|1161.) = 100%	
P(but|1165);) = 100%	
P(the|1167,) = 100%	
P(was|1171) = 100%	
P(some|1174.) = 100%	
P(the|1179)) = 100%	
P(joined|1182,) = 100%	
P(john,|1185.) = 100%	
P(see|11:) = 100%	
P(not|1214),) = 100%	
P(these|1270) = 100%	
P(see|12:) = 100%	
P(century)|12th) = 50%	
P(of|12th) = 50%	
P(a.h.|12th,) = 100%	
P(see|13:) = 100%	
P(of|13th) = 50%	
P(day|13th) = 50%	
P(the|1438.) = 100%	
P(the|1453,) = 100%	
P(see|14:) = 100%	
P(of|14th) = 100%	
P(west,|1500) = 100%	
P(or|1517,) = 100%	
P(see|15:) = 100%	
P(century)|15th) = 100%	
P(1054,|16,) = 100%	
P(see|16:) = 100%	
P(of|16th) = 100%	
P(the|1783) = 100%	
P(see|17:) = 100%	
P(it|180.) = 100%	
P(signal|1852--the) = 100%	
P(and|1860,) = 100%	
P(at|1862) = 100%	
P(see|18:) = 100%	
P(1199.]|19,) = 100%	
P(see|19:) = 100%	
P(see|1:) = 100%	
P(of|1st) = 100%	
P(by|2,) = 100%	
P(information|2.) = 100%	
P(of|20%) = 100%	
P(2003|20,) = 100%	
P(the|2001,) = 100%	
P([ebook|2003) = 100%	
P(with|2003,) = 100%	
P(see|20:) = 100%	
P(of|20th) = 100%	
P(see|21:) = 100%	
P(of|21st) = 100%	
P(after|22:) = 100%	
P(of|22d) = 50%	
P(day|22d) = 50%	
P(a.d.|23,) = 100%	
P(primitive|23:) = 100%	
P(of|23d) = 100%	
P(again|23d,) = 100%	
P(would|24689) = 100%	
P(so|24:) = 100%	
P("however|24th,) = 100%	
P(ships|252) = 100%	
P(in|25:) = 100%	
P(of|25th) = 100%	
P(william's|26:) = 100%	
P(of|26th) = 100%	
P(that|27:) = 100%	
P(that|28:) = 100%	
P(conde|29:) = 100%	
P(of|29th) = 100%	
P(see|2:) = 100%	
P(and|3) = 50%	
P(below.|3) = 50%	
P(by|3,) = 100%	
P(information|3.) = 100%	
P(days|30) = 100%	
P(the|300;) = 100%	
P(this|30:) = 100%	
P(the|31:) = 100%	
P(defended|321,) = 100%	
P(convened|325) = 100%	
P(years'|328) = 100%	
P(this|32:) = 100%	
P(constantine|330,) = 100%	
P(october|33:) = 100%	
P(may|34:) = 100%	
P(sail,|350) = 100%	
P(according|350,) = 100%	
P(of|357) = 100%	
P(sancho,|35:) = 100%	
P(the|36:) = 100%	
P(these|37:) = 100%	
P(the|38:) = 100%	
P(mahmud|390,) = 100%	
P((ad|391) = 100%	
P(he|395) = 100%	
P(he|396) = 100%	
P(annandpal,|399) = 100%	
P(the|39:) = 100%	
P(see|3:) = 100%	
P(day|3d) = 100%	
P("information|4,) = 50%	
P(by|4,) = 50%	
P(information|4.) = 100%	
P(the|402,) = 100%	
P(of|40:) = 100%	
P(head|41:) = 100%	
P(scott|42:) = 100%	
P(melan|4557) = 100%	
P(the|461,) = 100%	
P(with|486,) = 100%	
P(see|4:) = 100%	
P(1066--an|5,) = 50%	
P(by|5,) = 50%	
P(general|5.) = 100%	
P(states|50) = 100%	
P(after|500,) = 100%	
P(educational|501(c)(3)) = 50%	
P(letter|501(c)(3)) = 50%	
P(the|511,) = 100%	
P(the|514) = 100%	
P(=|558) = 100%	
P(created|570,) = 100%	
P((about|572) = 100%	
P(he|580.) = 100%	
P(in|585.) = 100%	
P(he|591) = 100%	
P(he|595.[34]) = 100%	
P(email|596-1887,) = 100%	
P(see|5:) = 100%	
P(the|5th) = 100%	
P(days|60) = 100%	
P(by|608) = 100%	
P(the|608,) = 100%	
P((a.d.|610) = 100%	
P(within|632.) = 100%	
P(the|634) = 100%	
P(the|637) = 100%	
P(its|64-6221541.) = 100%	
P(to|647,) = 100%	
P(and|662) = 100%	
P(with|664,) = 100%	
P(the|676) = 100%	
P(see|6:) = 100%	
P(to|711) = 100%	
P(up|768--built) = 100%	
P(louis,|791) = 100%	
P(_leif|7:) = 100%	
P(north|809) = 100%	
P(with|812,) = 100%	
P(charlemagne|814) = 100%	
P(pope|816) = 100%	
P(the|816,) = 100%	
P(louis|817,) = 33%	
P(which|817,) = 33%	
P(he|817,) = 33%	
P(they|818) = 100%	
P(louis,|822,) = 100%	
P(he|823,) = 100%	
P(and|828,) = 100%	
P(during|829,) = 100%	
P(two|834,) = 100%	
P(was|837,) = 100%	
P(at|838) = 100%	
P(the|838,) = 100%	
P(once|839,) = 100%	
P(charles|840) = 100%	
P(at|840,) = 100%	
P(exactly|841,) = 100%	
P((801)|84116,) = 100%	
P(the|842,) = 50%	
P(they|842,) = 50%	
P(by|843,) = 50%	
P(that|843,) = 50%	
P(messina|843.) = 100%	
P(that|844) = 100%	
P(lothair|844.) = 100%	
P(paris|845.) = 100%	
P(they|846) = 100%	
P(rome|846.) = 100%	
P(a|847.) = 100%	
P(having|848,) = 100%	
P(louis,|848.) = 100%	
P(part|849.) = 50%	
P(birth|849.) = 50%	
P(roric,|850.) = 100%	
P(danes|851.) = 100%	
P(a|852.) = 100%	
P(hastings'|853.) = 100%	
P(death|855.) = 100%	
P(the|857) = 100%	
P('many|859:) = 100%	
P(and|860,) = 100%	
P(iceland|860.) = 100%	
P(rurik,|862.) = 100%	
P(cyril|863.) = 100%	
P(on|864,) = 50%	
P(by|864,) = 50%	
P(pope|864.) = 100%	
P(first|865.) = 100%	
P(and|866) = 100%	
P(east|866.) = 100%	
P(to|867,) = 100%	
P(alfred|868) = 100%	
P(perhaps|868.) = 50%	
P(nottingham|868.) = 50%	
P(eighth|869.) = 100%	
P(ethelred|870-871) = 100%	
P(malta|870.) = 100%	
P(when|871,) = 100%	
P(hincmar,|871.) = 33%	
P(but|871.) = 33%	
P(he|871.) = 33%	
P(in|872) = 100%	
P(louis|872.) = 100%	
P(from|873) = 100%	
P(on|873.) = 100%	
P(must|874) = 100%	
P(however,|874,) = 100%	
P(shame|874--of) = 100%	
P(mercia|874.) = 100%	
P(he|875) = 100%	
P(death|875.) = 100%	
P(was|876) = 100%	
P(and,|876,) = 50%	
P(when|876,) = 50%	
P(are|876-77) = 100%	
P(death|876.) = 100%	
P(the|877) = 100%	
P(and|877,) = 100%	
P(no|877.) = 100%	
P(selwood|878) = 100%	
P(king|878,) = 50%	
P(the|878,) = 50%	
P(after|878.) = 50%	
P(alfred|878.) = 50%	
P(when|879,) = 33%	
P(which|879,) = 33%	
P(but|879,) = 33%	
P(methodius|879.) = 50%	
P(in|879.) = 50%	
P(germany|880.) = 100%	
P(methodius|881.) = 100%	
P(albategni,|882.) = 100%	
P(alfred|883.) = 100%	
P(charles|884.) = 100%	
P(all|885,) = 33%	
P(under|885,) = 33%	
P(he|885,) = 33%	
P(siege|885.) = 100%	
P(charles|886,) = 100%	
P(alfred|886.) = 100%	
P(and|887,) = 50%	
P(charles|887,) = 50%	
P(deposition|887.) = 50%	
P(he|887.) = 50%	
P(when|888,) = 100%	
P(death|888.) = 100%	
P(his|889) = 100%	
P(southern|890.) = 100%	
P(king|891.) = 50%	
P(his|891.) = 50%	
P(a|893) = 100%	
P(with|893,) = 100%	
P(arnulf|894.) = 100%	
P(rome|895.) = 100%	
P(pope|896.) = 100%	
P(hasting|897) = 100%	
P(pope|897.) = 100%	
P(eudes|898,) = 100%	
P(accession|899.) = 100%	
P(see|8:) = 100%	
P(of|8th) = 100%	
P(days|90) = 100%	
P(hungarians|900.) = 100%	
P(in|901,) = 100%	
P(death|901.) = 100%	
P(and|901;) = 100%	
P(russians,|904.) = 100%	
P(bavaria|907.) = 100%	
P(a|908) = 100%	
P(the|908.) = 100%	
P(founding|909.) = 100%	
P(or|91) = 100%	
P(he|910,) = 100%	
P(charles,|911) = 50%	
P(by|911) = 50%	
P(end|911.) = 100%	
P(and|912,) = 100%	
P(rollo,|912.) = 100%	
P(owing|912],) = 100%	
P(the|913) = 100%	
P(igor,|913.) = 100%	
P(john|914.) = 100%	
P(and|915,) = 50%	
P(between|915,) = 50%	
P(berengar|916.) = 100%	
P(whose|917,) = 100%	
P(without|918) = 100%	
P(whereupon|918,) = 100%	
P(death|918.) = 100%	
P(by|919,) = 50%	
P(in|919,) = 50%	
P(founding|919.) = 100%	
P(91|92,) = 50%	
P(92,|92,) = 50%	
P(arnulf|921.) = 100%	
P(rudolph|923.) = 100%	
P(germany|924.) = 100%	
P(edward|925.) = 100%	
P(they|926) = 100%	
P(henry|926.) = 100%	
P(coupled|928-929,) = 100%	
P(guido|928.) = 100%	
P(charles|929.) = 100%	
P(92,|93,) = 100%	
P(prague|930.) = 100%	
P(marozia|931.) = 100%	
P(hugh|932.) = 100%	
P(henry|933.) = 100%	
P(or|934) = 100%	
P(he|934-946.) = 100%	
P(which|935,) = 100%	
P(death|936.) = 100%	
P(confederation|937.) = 100%	
P(the|939.) = 100%	
P(93,|94,) = 100%	
P(death|940.) = 100%	
P(constantinople|941.) = 100%	
P(death|945.) = 100%	
P(edmund,|946.) = 100%	
P(94,|95,) = 100%	
P(otho|951.) = 100%	
P(otho|952.) = 100%	
P(he|953,) = 100%	
P(the|953-975,) = 100%	
P(and|955,) = 100%	
P(otho|955.) = 100%	
P(many|956.) = 100%	
P(to|958) = 100%	
P(st.|959.) = 100%	
P(95,|96,) = 100%	
P(berengar|961.) = 100%	
P(in|962,) = 100%	
P(otho|962.) = 100%	
P(nicephorus|963.) = 100%	
P(pope|964.) = 100%	
P(after|966.) = 100%	
P(added|967,) = 100%	
P(founded|969,) = 100%	
P(the|969.) = 50%	
P(kahira|969.) = 50%	
P(96,|97,) = 100%	
P(and|970) = 50%	
P(sviatoslaf|970) = 50%	
P(that|971-972) = 100%	
P(all|971.) = 50%	
P(gawhar|971.) = 50%	
P(civil|972) = 100%	
P(and|972,) = 50%	
P(not|972,) = 50%	
P(on|973.) = 100%	
P(robbed|974,) = 100%	
P(henry,|976.) = 100%	
P(jaipal,|977) = 100%	
P(otho|978.) = 100%	
P(king|979.) = 100%	
P(97,|98,) = 100%	
P(supported|980,) = 100%	
P(theophania|980.) = 100%	
P(they|981-991) = 100%	
P(saracens|982.) = 100%	
P(eric|983.) = 100%	
P(emigrated|986,) = 100%	
P(death|987.) = 100%	
P(vladimir|988,) = 100%	
P(vladimir|988.) = 100%	
P(sedition|989.) = 100%	
P(archbishop|991.) = 100%	
P(biarne|994,) = 100%	
P(hugh|994.) = 100%	
P(death|996.) = 100%	
P(subuktigin|997) = 100%	
P(venetians|997.) = 100%	
P(but|99712.,) = 100%	
P(crescentius,|998.) = 100%	
P(see|9:) = 100%	
P(a.d.|=) = 100%	
P(son|["ironside"],) = 100%	
P(ruled|[1118-1143],) = 100%	
P(ruled|[1143-1181],) = 100%	
P(the|[1198-1216]) = 100%	
P(was|[843]) = 100%	
P($125,000].|[about) = 100%	
P(of|[alfonso) = 100%	
P(were|[earls]) = 100%	
P(#10151]|[ebook) = 100%	
P(31:|[footnote) = 2%	
P(19:|[footnote) = 2%	
P(15:|[footnote) = 2%	
P(21:|[footnote) = 2%	
P(25:|[footnote) = 2%	
P(17:|[footnote) = 2%	
P(23:|[footnote) = 2%	
P(39:|[footnote) = 2%	
P(13:|[footnote) = 2%	
P(27:|[footnote) = 2%	
P(38:|[footnote) = 2%	
P(11:|[footnote) = 2%	
P(4:|[footnote) = 2%	
P(33:|[footnote) = 2%	
P(2:|[footnote) = 2%	
P(28:|[footnote) = 2%	
P(36:|[footnote) = 2%	
P(42:|[footnote) = 2%	
P(18:|[footnote) = 2%	
P(8:|[footnote) = 2%	
P(40:|[footnote) = 2%	
P(34:|[footnote) = 2%	
P(30:|[footnote) = 2%	
P(20:|[footnote) = 2%	
P(14:|[footnote) = 2%	
P(10:|[footnote) = 2%	
P(32:|[footnote) = 2%	
P(9:|[footnote) = 2%	
P(22:|[footnote) = 2%	
P(16:|[footnote) = 2%	
P(26:|[footnote) = 2%	
P(12:|[footnote) = 2%	
P(7:|[footnote) = 2%	
P(24:|[footnote) = 2%	
P(3:|[footnote) = 2%	
P(5:|[footnote) = 2%	
P(1:|[footnote) = 2%	
P(37:|[footnote) = 2%	
P(29:|[footnote) = 2%	
P(6:|[footnote) = 2%	
P(35:|[footnote) = 2%	
P(41:|[footnote) = 2%	
P(delegates,|[god's]) = 100%	
P(iii]|[louis) = 100%	
P(when|[nice],) = 100%	
P(anjou]|[of) = 100%	
P(as|[sic]) = 100%	
P("unready"]|[the) = 100%	
P(died|[who) = 100%	
P(to|_according) = 100%	
P(originally|_alfaqui_,) = 100%	
P(cleomades_,|_aliscans,) = 100%	
P(allons!_'|_allons!) = 100%	
P(which|_almoravides_,[30]) = 100%	
P(or|_almuzlemin_,) = 100%	
P(his|_amerciament_.) = 100%	
P(chronicle_,|_anglo-saxon) = 100%	
P(of|_annals) = 100%	
P(hoc|_ante) = 100%	
P(democratic|_antipapal) = 100%	
P(assigns|_antiquary_,) = 100%	
P(americanae_--the|_antiquitates) = 100%	
P(but|_antrustions_.) = 100%	
P(point|_any_) = 100%	
P(along|_armada_) = 100%	
P(which|_arrier-ban_,) = 100%	
P(the|_audigier_,) = 100%	
P(militum_|_auxilium) = 100%	
P(que|_avienne) = 100%	
P(that|_azyma_,) = 100%	
P(el|_bab) = 75%	
P(ibn|_bab) = 25%	
P(passed|_balteus_,) = 100%	
P(and|_bedell_;) = 100%	
P(almokaddas_|_beit) = 50%	
P(almacdes_|_beit) = 50%	
P(and|_beneficium_,) = 100%	
P(and|_benificium_) = 100%	
P(book_|_black) = 100%	
P(of|_books) = 100%	
P(sentiments,|_bourgeois_) = 100%	
P(said|_boyars_) = 100%	
P((burghs|_burhs_) = 100%	
P(of|_bydel_) = 100%	
P(chronicle_|_byzantine) = 100%	
P(which|_caballus_,) = 100%	
P(was|_cadis_,) = 100%	
P(and|_camerarius_) = 100%	
P(becomes|_canute) = 100%	
P(of|_career) = 100%	
P(and|_carucates_) = 100%	
P(of|_catalogue) = 100%	
P(petri_,|_cathedra) = 100%	
P(at|_cathedra_) = 100%	
P(or|_centen_) = 100%	
P(of|_ceorls_) = 100%	
P(of|_chanson) = 100%	
P(de|_chansons) = 100%	
P(and|_chansons_;) = 100%	
P(these|_chivalry_.') = 100%	
P(and|_christ_,) = 100%	
P(speaks|_chronicle_) = 50%	
P(that|_chronicle_) = 50%	
P(or|_chrysobulum_,) = 100%	
P(in|_cingulum_) = 100%	
P(the|_clerks_;) = 100%	
P(or|_comes_) = 100%	
P(of|_completion) = 100%	
P(of|_conquest) = 100%	
P(of|_consolation) = 100%	
P(of|_conversion) = 100%	
P(looys_|_couronnement) = 100%	
P(it|_court_:) = 100%	
P(vivien_|_covenant) = 100%	
P(from|_cubicularius_,) = 100%	
P(in|_d'outre-mer_) = 100%	
P(or|_damoiseaux_,) = 100%	
P(because|_danegelt_;) = 100%	
P(is|_debonnaire_) = 100%	
P(only|_decania_--one) = 100%	
P(of|_decay) = 100%	
P(of|_decline) = 100%	
P(of|_description) = 100%	
P(seven|_dinars_;) = 100%	
P([about|_dirhams_) = 100%	
P(and|_dissension) = 100%	
P(book_,|_domesday) = 30%	
P(book_[14]|_domesday) = 10%	
P(book_.|_domesday) = 10%	
P(book_|_domesday) = 50%	
P(and|_domesday_) = 7%	
P(is|_domesday_) = 7%	
P(contains|_domesday_) = 7%	
P(enumeration|_domesday_) = 7%	
P(to|_domesday_) = 7%	
P(survey|_domesday_) = 14%	
P(the|_domesday_) = 7%	
P(survey.|_domesday_) = 7%	
P(survey,|_domesday_) = 14%	
P(affords|_domesday_) = 14%	
P(shows|_domesday_) = 7%	
P(with|_domesday_,) = 100%	
P(temporale_,|_dominium) = 100%	
P(quixote_--which|_don) = 100%	
P(the|_drengs_,) = 100%	
P(of|_duces_,) = 100%	
P(history|_ecclesiastical) = 100%	
P(or|_eig_) = 100%	
P(kods_|_el) = 33%	
P(schereef_|_el) = 33%	
P(mobarek_|_el) = 33%	
P(still|_emperor_) = 100%	
P(and|_eorl_) = 100%	
P(or|_erec_) = 100%	
P(the|_excommunication_) = 100%	
P(of|_extension_) = 100%	
P(its|_feudalism:) = 100%	
P(but|_fight_,) = 100%	
P(clause|_filioque_) = 100%	
P(in|_force_) = 100%	
P(of|_foundation) = 100%	
P(and|_framea_) = 100%	
P(of|_fyrd_) = 50%	
P(or|_fyrd_) = 50%	
P(summon|_fyrd_,) = 100%	
P(or|_fyrdwite_,) = 100%	
P(of|_gauen_) = 100%	
P(of|_gerefa_) = 100%	
P(and|_germania_,) = 100%	
P(refers|_germania_--that) = 100%	
P(stephain_,|_gesta) = 25%	
P(stephani_|_gesta) = 75%	
P(de|_godfrey) = 100%	
P(who,|_grafs_,) = 100%	
P(and|_growth) = 100%	
P(whom|_hagib_,) = 100%	
P(and|_ham_) = 100%	
P((or|_hami_) = 100%	
P(of|_harmony) = 100%	
P(the|_henry) = 50%	
P(iii|_henry) = 50%	
P(of|_heriot_) = 100%	
P(to|_heriot_,) = 100%	
P(and|_icons_,) = 100%	
P(capite_|_in) = 33%	
P(curte_|_in) = 33%	
P(praise|_in) = 33%	
P(but|_institutions_;) = 100%	
P(_renart_|_jabliaux_--the) = 100%	
P(a|_judiciar_,) = 100%	
P(in|_kammerboten_,) = 100%	
P(directed|_koran_,) = 100%	
P(the|_koran_.) = 100%	
P(and|_koran_;) = 100%	
P(vie|_la) = 100%	
P(men|_land-sittende_) = 100%	
P(is|_largesse_) = 100%	
P(champ|_le) = 50%	
P(debonnaire_.|_le) = 50%	
P(ericson|_leif) = 100%	
P(homines_,|_liberi) = 100%	
P(the|_librates_,) = 100%	
P(of|_life) = 100%	
P(at|_loherains_) = 100%	
P(and|_lord_,') = 100%	
P(sweep|_mahdi_,) = 100%	
P(in|_mahometans) = 100%	
P(if|_malitia_,) = 100%	
P(for|_matins_;) = 100%	
P(fierce.|_melee_) = 50%	
P(was|_melee_) = 50%	
P(the|_melee_,) = 100%	
P(is|_miles_) = 50%	
P(in|_miles_) = 50%	
P(the|_miles_.) = 100%	
P(zonis|_militaribus) = 100%	
P(soldiers;|_milites_,) = 100%	
P(of|_militia_) = 100%	
P(was|_militia_,) = 50%	
P(but|_militia_,) = 50%	
P(of|_mimus_) = 100%	
P(and|_mora_,) = 100%	
P(or|_muraditins_,) = 100%	
P(as|_nation_,) = 100%	
P(or|_nazaradin_,) = 100%	
P(has|_nibelungenlied_) = 100%	
P(conquest|_norman) = 100%	
P(been|_not_) = 100%	
P(for|_office) = 100%	
P(meditation_,|_on) = 100%	
P(year|_one_) = 100%	
P(to|_ost_,) = 100%	
P(said|_pandects_) = 100%	
P(of|_pastoral_) = 100%	
P(for|_pater-nosters_,) = 100%	
P(for|_patricius_.) = 100%	
P(loricas_|_per) = 100%	
P(gallois_|_percevalde) = 100%	
P(or|_pincerna_,) = 100%	
P(and|_piscinae_) = 100%	
P((villas)|_places) = 100%	
P(or|_presbyterium_) = 100%	
P(of|_primicerius_) = 100%	
P(inter|_primus) = 100%	
P(de|_raoul) = 100%	
P(with|_regime_) = 100%	
P(of|_register_) = 50%	
P(there|_register_) = 50%	
P(in|_register_,) = 100%	
P(of|_relief_) = 100%	
P(and|_renart_) = 100%	
P(de|_roman) = 100%	
P(which|_rose_,) = 100%	
P(porphyretica_,|_rota) = 100%	
P(and|_sac_) = 100%	
P(chronicle_|_saxon) = 25%	
P(chronicle_,|_saxon) = 75%	
P(or|_scholae_) = 100%	
P(and|_secular_) = 50%	
P(soldiery|_secular_) = 50%	
P(to|_seniores_.) = 100%	
P(and|_seriatim_,) = 100%	
P(slaves;|_servi_,) = 100%	
P(or|_sherif_,) = 100%	
P(or|_soc_,) = 100%	
P(or|_sochemanni_) = 100%	
P(usurps|_stephen) = 100%	
P(round_|_table) = 50%	
P(round_,|_table) = 50%	
P(of|_tales) = 100%	
P(deum_|_te) = 100%	
P(roffensis_|_textus) = 100%	
P(romance|_the) = 33%	
P(rule|_the) = 33%	
P(first|_the) = 33%	
P(was|_thegn_) = 50%	
P(for|_thegn_) = 50%	
P(of|_thegnage_) = 100%	
P(by|_theow_.) = 100%	
P(there|_ton_.) = 100%	
P(of|_triumphs) = 100%	
P(to|_turnen_,) = 100%	
P(ourselves."|_us_) = 100%	
P(who|_vassal_) = 100%	
P(commending|_vassi_,) = 100%	
P(owed|_vassus_) = 100%	
P(the|_vicecomes_;) = 100%	
P(these|_villani_.) = 100%	
P(regardant_.|_villeins) = 100%	
P(for|_virgate_,) = 100%	
P(stews|_vivaria_--their) = 100%	
P(of|_wali_) = 100%	
P(commander|_wazir_) = 100%	
P(had|_wazir_,) = 100%	
P(and|_wazirs_) = 100%	
P(with|_witan_) = 50%	
P(chose|_witan_) = 50%	
P(government,|a) = 0%	
P(code|a) = 0%	
P(railway;|a) = 0%	
P(remarkable|a) = 0%	
P(young|a) = 0%	
P(roman|a) = 0%	
P(comparatively|a) = 0%	
P(son,|a) = 0%	
P(revolt;|a) = 0%	
P(month|a) = 0%	
P(keen-edged|a) = 0%	
P(thoughtful|a) = 0%	
P(mile|a) = 0%	
P(robber--sometimes|a) = 0%	
P(higher|a) = 0%	
P(battle|a) = 0%	
P(poetry|a) = 0%	
P(cavalier.|a) = 0%	
P(captain|a) = 0%	
P(religious|a) = 0%	
P(compact|a) = 0%	
P(dreadful|a) = 0%	
P(mounted|a) = 0%	
P(bitter|a) = 0%	
P(baron|a) = 0%	
P(potentate|a) = 0%	
P(rupture|a) = 0%	
P(warning|a) = 0%	
P(time.|a) = 0%	
P(passage|a) = 0%	
P(literary|a) = 0%	
P(german|a) = 0%	
P(charge|a) = 0%	
P(passion|a) = 0%	
P(sovereignty|a) = 0%	
P(fatal|a) = 0%	
P(virgin|a) = 0%	
P(friendly|a) = 0%	
P(liar;|a) = 0%	
P(vassal,|a) = 0%	
P(woman|a) = 0%	
P(worse|a) = 0%	
P(tribunal|a) = 0%	
P(baron.|a) = 0%	
P(facetious|a) = 0%	
P(renewal|a) = 0%	
P(burgher|a) = 0%	
P(leisurely|a) = 0%	
P(confederate|a) = 0%	
P(difference|a) = 0%	
P(child,|a) = 0%	
P(courageous|a) = 0%	
P(child.|a) = 0%	
P(cool|a) = 0%	
P(vacancy|a) = 0%	
P(school|a) = 0%	
P(barbary|a) = 0%	
P(scholar|a) = 0%	
P(flodden|a) = 0%	
P(thunderbolt|a) = 0%	
P(knight|a) = 0%	
P(bay,|a) = 0%	
P(brother|a) = 0%	
P(temple|a) = 0%	
P(large|a) = 2%	
P(_chrysobulum_,|a) = 0%	
P(reissue|a) = 0%	
P(progress|a) = 0%	
P(succession|a) = 0%	
P(grandson|a) = 0%	
P(noted|a) = 0%	
P(veritable|a) = 0%	
P(charter|a) = 0%	
P(brave|a) = 0%	
P(force|a) = 0%	
P(pledge|a) = 0%	
P(fence|a) = 0%	
P(sigh|a) = 0%	
P(direct|a) = 0%	
P(sign|a) = 0%	
P(hundred,|a) = 0%	
P(mansion|a) = 0%	
P(hundred.|a) = 0%	
P(knight,|a) = 0%	
P(dignity,|a) = 0%	
P(further|a) = 0%	
P(sterile|a) = 0%	
P(deputation|a) = 0%	
P(republic;|a) = 0%	
P(canonical|a) = 0%	
P(hymn|a) = 0%	
P(settlement|a) = 0%	
P(hide|a) = 0%	
P(pathetic|a) = 0%	
P(century.|a) = 0%	
P(solemn|a) = 0%	
P(surety|a) = 0%	
P(sum|a) = 0%	
P(brief|a) = 0%	
P(hereditary|a) = 0%	
P(readier|a) = 0%	
P(dance--was|a) = 0%	
P(new|a) = 2%	
P(tribute|a) = 0%	
P(month's|a) = 0%	
P(public|a) = 0%	
P(mahometan,|a) = 0%	
P(thin|a) = 0%	
P(body|a) = 0%	
P(war-horse.|a) = 0%	
P(full|a) = 0%	
P(christian|a) = 0%	
P(wavering|a) = 0%	
P(degree|a) = 0%	
P(manslayer....|a) = 0%	
P(military|a) = 0%	
P(herald,|a) = 0%	
P(compilation|a) = 0%	
P(loose|a) = 0%	
P(commercial|a) = 0%	
P(french|a) = 0%	
P(river,|a) = 0%	
P(beacon|a) = 0%	
P(neatherd|a) = 0%	
P(warlike|a) = 0%	
P(path|a) = 0%	
P(standard|a) = 0%	
P(change|a) = 0%	
P(great|a) = 2%	
P(voice|a) = 0%	
P(daughter|a) = 0%	
P(naval|a) = 0%	
P(conviction|a) = 0%	
P(larger|a) = 0%	
P(guilty|a) = 0%	
P(step|a) = 0%	
P(brutal|a) = 0%	
P(later|a) = 0%	
P(leprosy.|a) = 0%	
P(death-roll,|a) = 0%	
P(total|a) = 0%	
P(snare.|a) = 0%	
P(swamp,|a) = 0%	
P(defeat|a) = 0%	
P(hospitality|a) = 0%	
P(chieftain|a) = 0%	
P(quarrel|a) = 0%	
P(settled|a) = 0%	
P(punishment|a) = 0%	
P(struggle|a) = 0%	
P(crusading|a) = 0%	
P(writer|a) = 0%	
P(love|a) = 0%	
P(case,|a) = 0%	
P(campaign|a) = 0%	
P(danger|a) = 0%	
P(caravan|a) = 0%	
P(madman.|a) = 0%	
P(pope|a) = 0%	
P(burghess|a) = 0%	
P(private|a) = 0%	
P(bloody|a) = 0%	
P(county|a) = 0%	
P(stern|a) = 0%	
P(female,|a) = 0%	
P(unit|a) = 0%	
P(bended|a) = 0%	
P(plot|a) = 0%	
P(fee|a) = 0%	
P(distinct|a) = 0%	
P(licentious|a) = 0%	
P(visit|a) = 0%	
P(pious|a) = 0%	
P(district,|a) = 0%	
P(few|a) = 1%	
P(prey|a) = 0%	
P(valley.|a) = 0%	
P(contrite|a) = 0%	
